Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Hammered Cast Aluminum Caldero  2QT / 3.7QT / 4.8QT / 6.9QT |Calderos |||GAU-86620<br>GAU-86624<br>GAU-86626<br>GAU-86630|Available in 4 Sizes:  2QT / 3.7QT / 4.8QT / 6.9QT<br>Made of Hammered Cast Aluminum<br>Glass Lid with Steam Vent <br>Cool-Touch Knob<br>Black |||Other Calderos|product21
Non-Stick Cast Aluminum Caldero in Blue with Glass Lid 24cm / 26cm / 30cm|Calderos |||GAU-86774<br>GAU-86775<br>GAU-86776|Available in 3 Sizes:  24cm / 26cm / 30cm <br>Non-Stick Coating<br>Made of Cast Aluminum <br>Glass Lid with Steam Vent<br>Cool-Touch Knob<br>Blue|||Other Calderos|product22
Hammered Cast Aluminum Caldero with Glass Lid 24cm / 30cm / 36cm|Calderos |||GAU-87624M<br>GAU-87630M<br>GAU-87636M|Available in 3 Sizes:  24cm / 30cm / 36cm<br>Made of Hammered Cast Aluminum<br>Glass Lid with Steam Vent |||Other Calderos|product23
Non-Stick Cast Aluminum Caldero in Red with Glass Lid 24cm / 30cm|Calderos |||GAU-88524M<br>GAU-88530M|Available in 2 Sizes:  24cm / 30cm<br>Non-Stick, Porcelain Coating<br>Glass Lid with Steam Vent<br>Red|||Other Calderos|product24
Basic Aluminum Caldero  20cm / 24cm / 26cm / 30cm / 36cm|Calderos |||R200-CALDERO 22<br>R200-CALDERO 24<br>R200-CALDERO 26<br>R200-CALDERO 32<br>R200-CALDERO 38|Available in 5 Sizes: 20cm / 24cm / 26cm / 30cm / 36cm<br>Made of Aluminum <br>2.5mm Thickness|||Other Calderos|product25
12 Piece Espresso Set in Red with Rack|Coffee|||A120-22122|Set Includes:<br>6 (3oz) Espresso Cups<br>6 Plates<br>1 Metal Rack<br>Red |||Other Coffee Item |product26
12 Piece Espresso Set in Yellow with Rack |Coffee|||A120-22123|Set Includes:<br>6 (3oz) Espresso Cups<br>6 Plates<br>1 Metal Rack<br>Yellow exterior with Orange rim |||Other Coffee Item |product27
8 Piece Espresso Set in White with Rack |Coffee|||A120-22171|Set Includes:<br>4 (3oz) Espresso Cups<br>4 Plates<br>1 Metal Rack<br>White|||Other Coffee Item |product28
8 Piece Espresso Set in Yellow with Rack|Coffee|||A120-22178|Set Includes:<br>4 (3oz) Espresso Cups<br>4 Plates<br>1 Metal Rack<br>Yellow exterior with White interior|||Other Coffee Item |product29
8 Piece Espresso Set in Red with Rack|Coffee|||A120-22179|Set Includes:<br>4 (3oz) Espresso Cups<br>4 Plates<br>1 Metal Rack<br>Red exterior with White interior|||Other Coffee Item |product30
8 Piece Espresso Set in Orange with Rack |Coffee|||A120-22182T|Set Includes:<br>4 (3oz) Espresso Cups<br>4 Plates<br>1 Metal Rack<br>Orange exterior with White interior|||Other Coffee Item |product31
8 Piece Espresso Set in Green / White|Coffee|||A120-22186|Set Includes:<br>4 (3oz) Espresso Cups<br>4 Plates<br>1 Metal Rack<br>Green exterior with White interior|||Other Coffee Item |product32
8 Piece Espresso Set in Red / Orange|Coffee|||A120-22187|Set Includes:<br>4 (3oz) Espresso Cups<br>4 Plates<br>1 Metal Rack<br>Red exterior with Orange interior |||Other Coffee Item |product33
4 Piece Coffee Mugs in Black & White with Rack |Coffee|||A120-22192|4 (3oz) Espresso Cups<br>Stackable<br>Metal Rack<br>Black & White Swirl Design|||Other Coffee Item |product34
8 Piece Espresso Set with Purple Stripe|Coffee|||A120-22203|Includes:<br>4 Espresso Cups<br>4 Plates<br>Purple Stripe Design |||Other Coffee Item |product35
