7 Piece Asian Gift Set with 14" Wok |<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Set Includes:<br>14" Natural Carbon Steel Wok with Bakelite Handles & Glass Lid  <br>Half Moon Tray<br>Deep Fry Basket<br>Bamboo Spoon, Fork & Tong</div>[/tab][tab id=2][display-posts tag="product10" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">WPAN-10022</div><div class="product-no">product10</div><div class="product-related">Other Asian Products</div><div class="product-group">Asian</div></div>|Asian|Asian
7 Piece Asian Gift Set with 12" Non-Stick Wok|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Set Includes: <br>12" Non-Stick Carbon Steel Wok with Wood Handle & Lid<br>Half Moon Tray<br>2 Soy Sauce Pots<br>12" Bamboo Spoon/Paddle<br>12" Bamboo Tong</div>[/tab][tab id=2][display-posts tag="product11" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">wPAN-10023</div><div class="product-no">product11</div><div class="product-related">Other Asian Products</div><div class="product-group">Asian</div></div>|Asian|Asian
7 Piece Asian Gift Set with 14" Non-Stick Wok|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Set Includes:<br>14" Non-Stick Carbon Steel Wok with Wood Handles<br>Half Moon Rack<br>13" Cooking Chopsticks<br>12" Bamboo Food Tongs<br>12" Cooking Spoon/Paddle<br>12" Cooking Solid Turner<br>12 Cooking Spatula"</div>[/tab][tab id=2][display-posts tag="product12" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">wPAN-10034T</div><div class="product-no">product12</div><div class="product-related">Other Asian Products</div><div class="product-group">Asian</div></div>|Asian|Asian
5 Piece Tempura Asian Gift Set with 14" Natural Aluminized Wok|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Set Includes:<br>14" Natural Aluminized Wok with Wood Handles<br>Half Moon Tray<br>12" Food Tongs<br>12" Bamboo Spoon/Paddle<br>12" Bamboo Spatula</div>[/tab][tab id=2][display-posts tag="product13" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">wPAN-10041</div><div class="product-no">product13</div><div class="product-related">Other Asian Products</div><div class="product-group">Asian</div></div>|Asian|Asian
Non-Stick Cast Aluminum Caldero with Black Ribbon  24cm / 30cm|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Available in 2 Sizes: 24cm / 30cm<br>Non-Stick Coating <br>Made of Cast Aluminum <br>2.5mm Thickness<br>Black Ribbon</div>[/tab][tab id=2][display-posts tag="product14" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">CHI-00019<br>CHI-00022</div><div class="product-no">product14</div><div class="product-related">Other Calderos</div><div class="product-group">Calderos </div></div>|Calderos |Calderos 
Aluminum Caldero with Orange Silicone Rim & Glass Lid 24cm / 30cm|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Available in 2 Sizes: 24cm / 30cm<br>Non-Stick Coating<br>Made of Aluminum <br>Glass Lid with Steam Vent<br>2.5mm Thickness<br>Orange with Silicone Rim </div>[/tab][tab id=2][display-posts tag="product15" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">CHI-00035O<br>CHI-00039O</div><div class="product-no">product15</div><div class="product-related">Other Calderos</div><div class="product-group">Calderos </div></div>|Calderos |Calderos 
3 Piece Aluminum Non-Stick Caldero Set in Red  20cm / 24cm / 30cm |<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Set Includes: 20cm, 24cm & 30cm<br>Non-Stick Coating <br>Made of Aluminum <br>Glass Lid with Steam Vent<br>2.5mm Thickness<br>Red</div>[/tab][tab id=2][display-posts tag="product16" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">CHI-80682W</div><div class="product-no">product16</div><div class="product-related">Other Calderos</div><div class="product-group">Calderos </div></div>|Calderos |Calderos 
3 Piece Aluminum Caldero Set in Orange  20cm / 24cm / 30cm |<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Set Includes: 20cm, 24cm & 30cm<br>Non-Stick Coating <br>Made of Aluminum <br>2.5mm Thickness<br>Orange</div>[/tab][tab id=2][display-posts tag="product17" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">CHI-80683W</div><div class="product-no">product17</div><div class="product-related">Other Calderos</div><div class="product-group">Calderos </div></div>|Calderos |Calderos 
Evolution Non-Stick Cast Aluminum Caldero  3.7QT / 6.9QT|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Available in 2 Sizes:  3.7QT / 6.9QT<br>Non-Stick Coating<br>Made of Cast Aluminum </div>[/tab][tab id=2][display-posts tag="product18" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">EVO-10024<br>EVO-10030</div><div class="product-no">product18</div><div class="product-related">Other Calderos</div><div class="product-group">Calderos </div></div>|Calderos |Calderos 
Cast Aluminum Natural Caldero  2QT / 2.6QT / 3.7Qt / 4.8QT / 6.9QT / 11.6QT / 17.9QT / 26.8QT|<img class="alignnone size-full" title="coffee" src="http://www.imusausa.com/new/wp-content/themes/IMUSA/images/no-photo.png" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]&nbsp;<strong>Product Details</strong><div class="prod-det">Available in 8 Sizes:<br>2QT / 2.6QT / 3.7Qt / 4.8QT / 6.9QT / 11.6QT / 17.9QT / 26.8QT<br>Made of Cast Aluminum </div>[/tab][tab id=2][display-posts tag="product19" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-hiden"><div class="product-ref">GAU-80502<br>GAU-80503<br>GAU-80504W<br>GAU-80505M<br>GAU-80506W<br>GAU-80507T<br>GAU-80508<br>GAU-80509</div><div class="product-no">product19</div><div class="product-related">Other Calderos</div><div class="product-group">Calderos </div></div>|Calderos |Calderos 
